month_start,week_ending,NSW,VIC,QLD,SA,WA,NT,TAS
2025-08-01,2025-08-03,172.5,167.6,169.9,170.0,173.3,194.0,174.1
2025-08-01,2025-08-10,182.8,176.0,175.7,180.5,174.6,195.4,176.7
2025-08-01,2025-08-17,178.3,190.3,189.4,169.4,174.8,196.2,176.8
2025-08-01,2025-08-24,174.1,186.5,187.6,172.1,174.5,196.6,176.5
2025-08-01,2025-08-31,171.8,179.2,180.4,170.3,175.6,197.6,178.0
2025-09-01,2025-09-07,177.2,173.5,175.9,176.1,175.6,199.2,179.0
2025-09-01,2025-09-14,187.5,174.4,176.6,175.3,175.3,200.0,178.4
2025-09-01,2025-09-21,185.4,187.1,190.2,170.9,174.9,200.3,177.8
2025-09-01,2025-09-28,178.5,192.3,191.7,183.2,175.7,200.2,177.8
2025-10-01,2025-10-05,173.0,185.2,184.4,173.8,175.6,200.0,177.6
2025-10-01,2025-10-12,175.8,177.3,177.6,176.9,173.7,200.2,177.6
2025-10-01,2025-10-19,185.1,169.7,174.6,171.1,172.6,200.2,176.0
2025-10-01,2025-10-26,180.8,179.2,187.2,173.8,172.7,200.0,175.8
2025-11-01,2025-11-02,176.0,194.6,194.8,169.8,174.2,200.1,177.7
2025-11-01,2025-11-09,174.2,190.1,189.4,177.0,175.7,200.7,179.7
2025-11-01,2025-11-16,181.8,180.2,181.9,173.7,176.5,200.9,180.0
2025-11-01,2025-11-23,189.5,176.1,178.2,180.6,177.5,200.8,180.6
2025-11-01,2025-11-30,180.7,188.5,191.8,180.0,177.7,200.7,181.1
2025-12-01,2025-12-07,175.9,197.5,198.7,171.6,177.4,200.1,181.8
2025-12-01,2025-12-14,186.4,188.6,189.9,177.9,176.7,199.0,181.7
2025-12-01,2025-12-21,189.2,174.7,176.9,169.2,175.3,197.9,181.0
2025-12-01,2025-12-28,180.4,169.2,172.5,178.8,173.4,197.6,180.1
2026-01-01,2026-01-04,173.6,177.2,178.5,172.8,172.1,197.6,178.7
2026-01-01,2026-01-11,168.4,190.9,188.1,163.1,170.8,197.4,177.2
2026-01-01,2026-01-18,169.7,191.9,190.4,162.9,169.7,197.3,175.9
2026-01-01,2026-01-25,177.7,178.5,179.5,167.4,168.5,196.5,174.2
2026-02-01,2026-02-01,179.1,165.4,167.2,164.3,167.4,195.2,173.0
2026-02-01,2026-02-08,170.8,161.6,163.6,162.0,167.0,194.0,172.4
2026-02-01,2026-02-15,165.0,166.8,170.1,159.9,166.5,193.3,170.6
2026-02-01,2026-02-22,166.3,172.4,182.1,163.5,166.0,193.4,169.0
2026-03-01,2026-03-01,176.0,187.4,191.8,175.2,167.1,193.6,169.3
2026-03-01,2026-03-08,201.3,201.1,203.5,187.5,181.3,204.7,183.6
2026-03-01,2026-03-15,220.1,219.8,220.0,218.1,216.9,232.9,217.5
2026-03-01,2026-03-22,237.9,237.5,236.9,238.7,239.7,249.0,239.5
2026-03-01,2026-03-29,252.3,253.4,252.7,255.5,254.8,263.5,257.3
2026-04-01,2026-04-05,240.5,240.6,240.2,237.7,239.0,252.8,239.0
2026-04-01,2026-04-12,224.2,224.5,225.2,223.4,223.4,242.3,225.4
2026-04-01,2026-04-19,213.0,213.2,215.3,211.1,208.2,232.8,210.4
2026-04-01,2026-04-26,193.1,191.8,193.6,188.0,190.3,208.3,194.5
2026-05-01,2026-05-03,184.0,181.8,184.3,179.9,183.1,214.8,190.2
2026-05-01,2026-05-10,183.5,182.3,184.3,182.5,183.1,214.8,190.5
2026-05-01,2026-05-17,185.0,182.7,186.6,181.3,180.9,213.8,187.6
2026-05-01,2026-05-24,186.4,185.7,187.5,180.4,183.2,212.9,187.5
2026-05-01,2026-05-31,183.7,183.3,185.3,177.6,180.3,208.8,186.6
2026-06-01,2026-06-07,174.7,175.1,177.0,168.7,172.0,200.2,181.4
2026-06-01,2026-06-14,168.4,169.0,172.0,163.7,168.6,195.0,176.5
2026-06-01,2026-06-21,164.9,164.6,168.9,161.5,165.2,192.3,171.9
2026-06-01,2026-06-28,159.3,158.4,162.6,155.4,158.7,186.9,166.5
2026-07-01,2026-07-05,162.3,161.4,163.9,161.1,164.0,188.9,170.7
2026-07-01,2026-07-12,168.7,167.8,171.8,167.1,169.7,192.8,176.2
2026-07-01,2026-07-19,171.9,171.9,175.4,168.7,173.1,194.7,177.1
2026-07-01,2026-07-26,181.3,181.8,184.0,181.0,182.2,203.6,185.0
2026-08-01,2026-08-02,193.4,194.1,195.4,194.5,192.8,215.8,196.2
2026-08-01,2026-08-09,205.1,207.2,208.1,207.7,203.7,226.8,209.4
2026-08-01,2026-08-16,200.1,201.1,203.7,201.6,199.9,224.6,205.9
2026-08-01,2026-08-23,200.3,200.8,202.5,203.0,202.2,224.1,206.2
2026-08-01,2026-08-30,203.8,205.0,204.6,205.0,205.0,227.0,208.5
