month_start,week_ending,Sydney,Canberra,Melbourne,Brisbane,Adelaide,Perth,Darwin,Hobart
2025-09-01,2025-09-07,176.9,183.7,172.8,175.3,174.8,174.5,186.0,178.8
2025-09-01,2025-09-14,195.1,185.4,174.0,176.5,173.5,174.0,187.0,177.7
2025-09-01,2025-09-21,190.7,185.9,191.3,196.7,167.7,173.4,187.3,177.0
2025-09-01,2025-09-28,178.0,185.7,198.3,198.7,184.3,174.4,187.0,176.8
2025-10-01,2025-10-05,168.3,185.4,188.6,188.1,171.7,174.3,186.8,176.2
2025-10-01,2025-10-12,173.9,185.2,177.9,178.2,175.8,172.0,187.0,176.1
2025-10-01,2025-10-19,191.8,184.9,168.1,174.3,168.2,170.7,187.1,173.8
2025-10-01,2025-10-26,183.9,184.8,181.5,192.8,172.0,171.0,186.9,173.7
2025-11-01,2025-11-02,174.7,185.4,202.2,203.3,166.7,172.8,187.1,176.4
2025-11-01,2025-11-09,171.3,185.4,196.0,195.0,176.0,174.6,187.6,178.4
2025-11-01,2025-11-16,184.9,185.4,182.5,183.9,171.3,175.4,187.8,178.2
2025-11-01,2025-11-23,198.4,185.4,177.0,178.5,180.2,176.5,187.9,178.7
2025-11-01,2025-11-30,182.2,186.4,193.8,198.4,179.3,176.6,187.8,179.4
2025-12-01,2025-12-07,173.3,187.9,205.9,208.4,168.3,176.2,187.1,180.4
2025-12-01,2025-12-14,192.8,187.4,193.7,195.8,177.0,175.5,185.9,180.5
2025-12-01,2025-12-21,199.0,186.9,175.2,177.4,165.6,174.0,184.5,179.5
2025-12-01,2025-12-28,183.9,186.2,168.3,171.6,178.8,172.1,184.1,178.1
2026-01-01,2026-01-04,171.7,186.7,179.4,180.9,170.9,170.7,184.0,175.9
2026-01-01,2026-01-11,162.6,186.7,198.1,195.3,158.3,169.2,183.8,173.5
2026-01-01,2026-01-18,166.1,186.6,199.6,198.9,158.2,168.1,183.7,171.9
2026-01-01,2026-01-25,181.6,186.5,181.6,183.1,164.5,166.9,182.8,170.0
2026-02-01,2026-02-01,184.6,185.8,164.3,165.2,160.5,165.7,181.4,168.9
2026-02-01,2026-02-08,170.0,183.2,159.4,160.1,157.7,165.2,180.1,168.2
2026-02-01,2026-02-15,159.9,181.5,166.7,170.1,155.3,164.6,179.2,166.7
2026-02-01,2026-02-22,163.1,181.0,174.8,187.9,160.4,163.9,179.1,165.4
2026-03-01,2026-03-01,181.4,181.1,195.2,201.6,176.1,165.1,179.4,166.4
2026-03-01,2026-03-08,211.1,189.9,208.8,211.1,189.1,180.8,193.6,182.4
2026-03-01,2026-03-15,221.4,218.3,221.5,221.3,218.1,216.8,227.1,218.3
2026-03-01,2026-03-22,236.6,237.7,237.0,236.0,238.2,238.8,243.5,239.7
2026-03-01,2026-03-29,251.0,252.3,253.0,251.5,255.1,253.7,258.5,256.6
2026-04-01,2026-04-05,239.4,237.7,240.2,239.1,236.7,236.5,242.3,238.2
2026-04-01,2026-04-12,222.8,221.7,223.7,223.9,222.3,221.2,227.3,223.5
2026-04-01,2026-04-19,211.2,213.0,212.4,213.9,208.9,205.5,215.2,208.6
2026-04-01,2026-04-26,190.6,193.8,190.4,191.0,183.2,187.1,198.6,191.9
2026-05-01,2026-05-03,181.9,183.7,180.5,181.9,175.1,180.2,193.8,186.7
2026-05-01,2026-05-10,182.1,182.4,181.6,182.6,178.7,180.5,192.6,187.6
2026-05-01,2026-05-17,186.3,183.2,182.8,187.3,178.0,178.1,191.1,184.3
2026-05-01,2026-05-24,187.8,184.2,186.4,188.1,176.8,181.2,192.3,185.5
2026-05-01,2026-05-31,183.4,184.1,183.3,185.1,173.6,177.7,189.4,185.5
2026-06-01,2026-06-07,171.8,179.5,174.4,175.2,163.7,168.5,178.7,179.7
2026-06-01,2026-06-14,164.4,175.0,167.9,169.3,158.8,165.3,172.6,173.8
2026-06-01,2026-06-21,160.9,170.5,163.3,166.1,156.9,161.7,169.3,168.7
2026-06-01,2026-06-28,155.2,167.2,157.0,159.2,150.7,154.8,164.7,161.8
2026-07-01,2026-07-05,158.5,169.2,160.0,160.4,157.4,160.9,167.6,167.1
2026-07-01,2026-07-12,165.5,178.3,166.9,169.9,163.5,167.1,173.1,173.4
2026-07-01,2026-07-19,169.8,178.1,171.6,174.4,165.6,170.9,175.8,174.1
2026-07-01,2026-07-26,178.7,188.3,181.7,183.0,178.6,180.5,187.0,184.3
2026-08-01,2026-08-02,191.0,202.1,193.9,194.7,193.1,191.3,201.8,197.1
